epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,37.3938,1.02026,0.8669,1.1555,0.94005,0.95238,0.92473,0.52888,1.28378,1.01846,1.14798,0.0011882,0.0011882,0.0011882
43,38.2021,1.11325,0.87597,1.16482,0.94218,0.95238,0.92959,0.58803,1.18559,0.97006,1.11481,0.0011684,0.0011684,0.0011684
44,38.979,0.9427,0.82348,1.09536,0.9462,0.95238,0.9374,0.64557,1.0351,0.87085,1.03472,0.0011486,0.0011486,0.0011486
45,39.7074,0.9296,0.79379,1.04661,0.95041,0.95238,0.94268,0.64098,0.95943,0.86856,1.01399,0.0011288,0.0011288,0.0011288
46,40.4515,0.95917,0.81255,1.09479,0.94372,0.95238,0.93974,0.68789,0.91962,0.79875,0.99726,0.001109,0.001109,0.001109
47,41.1878,1.07168,0.89369,1.19727,0.94547,0.95238,0.94277,0.67761,0.88321,0.72846,0.9837,0.0010892,0.0010892,0.0010892
48,41.9575,0.97354,0.8455,1.13147,0.94917,0.95238,0.93699,0.72056,0.78567,0.68895,0.94541,0.0010694,0.0010694,0.0010694
49,42.7063,1.02344,0.8903,1.16389,0.94908,0.95238,0.94286,0.72396,0.80146,0.67875,0.94192,0.0010496,0.0010496,0.0010496
50,43.4561,0.94312,0.8027,1.08912,0.94827,0.95238,0.95263,0.71129,0.82168,0.70626,0.94546,0.0010298,0.0010298,0.0010298
51,44.185,1.00785,0.84491,1.12593,0.9476,0.95238,0.94807,0.7197,0.8486,0.73039,0.96379,0.00101,0.00101,0.00101
52,44.9603,0.90366,0.7965,1.0761,0.94703,0.95238,0.9567,0.71375,0.94327,0.74858,1.01398,0.0009902,0.0009902,0.0009902
53,45.6848,0.94175,0.80087,1.08402,0.94637,0.95238,0.95557,0.72637,0.91737,0.70141,1.00558,0.0009704,0.0009704,0.0009704
54,46.4334,0.8648,0.79434,1.0632,0.9487,0.95238,0.95715,0.76903,0.82263,0.63922,0.97781,0.0009506,0.0009506,0.0009506
55,47.3342,0.85521,0.72992,1.04949,0.94983,0.95238,0.95193,0.7462,0.7919,0.62731,0.95513,0.0009308,0.0009308,0.0009308
56,48.0694,0.93082,0.75635,1.08295,0.95002,0.95238,0.96511,0.75396,0.7876,0.58344,0.95821,0.000911,0.000911,0.000911
57,48.8008,0.85648,0.71948,1.07421,0.94981,0.95238,0.97411,0.7815,0.79716,0.56779,0.95766,0.0008912,0.0008912,0.0008912
58,49.5952,1.0167,0.8176,1.10738,0.94996,0.95238,0.97331,0.79436,0.78868,0.59725,0.94488,0.0008714,0.0008714,0.0008714
59,50.3555,0.80359,0.7042,1.01431,0.95094,0.95238,0.97357,0.76573,0.83241,0.58391,0.96702,0.0008516,0.0008516,0.0008516
60,51.1282,0.82598,0.67248,1.04552,0.94941,0.95238,0.96141,0.76298,0.85536,0.57876,0.97493,0.0008318,0.0008318,0.0008318
61,51.864,0.9348,0.74834,1.13519,0.94932,0.95238,0.95972,0.75189,0.86857,0.57946,0.98045,0.000812,0.000812,0.000812
62,52.6364,0.86269,0.72227,1.0714,0.94205,0.95238,0.96341,0.7571,0.85516,0.58957,0.9555,0.0007922,0.0007922,0.0007922
